Designator,Mid X,Mid Y,Rotation,Layer
C1,103.8352,-95.8088,180.0,top
D1,46.5836,-28.2956,180.0,top
D10,82.550995,-39.689,180.0,top
D11,106.450995,-39.833,180.0,top
D12,120.65199,-39.689,180.0,top
D13,139.701993,-42.068999,180.0,top
D14,158.751993,-51.593999,180.0,top
D15,45.086,-63.5,180.0,top
D16,63.499997,-63.491997,180.0,top
D17,82.550996,-58.734998,180.0,top
D18,106.451492,-58.871996,180.0,top
D19,120.65199,-58.739,180.0,top
D2,66.1924,-27.8892,180.0,top
D20,139.701993,-61.118999,180.0,top
D21,158.752982,-70.634995,180.0,top
D22,45.086,-82.541997,180.0,top
D23,63.499997,-82.541997,180.0,top
D24,82.550996,-77.784998,180.0,top
D25,106.450995,-77.921996,180.0,top
D26,120.65199,-77.780996,180.0,top
D27,139.701993,-80.168999,180.0,top
D28,130.72044,-103.019246,165.0,top
D29,142.136232,-111.515337,240.0,top
D3,83.566,-22.352,180.0,top
D30,158.633483,-121.035996,240.0,top
D31,109.4232,-96.75,0.0,top
D4,106.450995,-20.783,180.0,top
D5,124.46,-23.114,180.0,top
D6,141.986,-25.4,180.0,top
D7,158.752982,-32.541999,180.0,top
D8,45.086,-44.45,180.0,top
D9,63.500996,-44.45,180.0,top
J1,159.512,-93.98,270.0,top
J3,163.322,-102.611,0.0,top
J4,95.1484,-96.75,270.0,top
J5,159.263969,-20.574,180.0,top
LED1,44.449997,-39.925,180.0,top
LED10,82.550996,-54.209998,180.0,top
LED11,101.600995,-51.833,180.0,top
LED12,120.65199,-54.214,180.0,top
LED13,139.701993,-56.593999,180.0,top
LED14,158.751993,-66.118999,180.0,top
LED15,44.449997,-78.016997,180.0,top
LED16,63.499997,-78.016997,180.0,top
LED17,82.550996,-73.259998,180.0,top
LED18,101.600995,-70.875995,180.0,top
LED19,120.65199,-73.255996,180.0,top
LED2,63.500996,-39.925,180.0,top
LED20,139.701993,-75.643999,180.0,top
LED21,158.75298,-85.159995,180.0,top
LED22,44.449997,-97.066997,180.0,top
LED23,63.5,-97.066997,180.0,top
LED24,82.550996,-92.309998,180.0,top
LED25,101.600995,-89.921996,180.0,top
LED26,120.65199,-92.302996,180.0,top
LED27,139.701993,-94.693999,180.0,top
LED28,126.961093,-117.049318,165.0,top
LED29,154.715251,-118.777838,240.0,top
LED3,82.550995,-35.164,180.0,top
LED30,171.213035,-128.302838,240.0,top
LED4,101.600995,-32.783,180.0,top
LED5,120.65199,-35.164,180.0,top
LED6,139.701993,-37.543999,180.0,top
LED7,158.751993,-47.068999,180.0,top
LED8,44.449997,-58.975,180.0,top
LED9,63.500996,-58.975,180.0,top
R2,52.1716,-95.9104,90.0,top
SW1,91.445968,-22.606,0.0,top
SW2,142.221968,-19.812,180.0,top
SW3,114.0794,-104.0052,0.0,top
